CMDLINE othello -g
MEM 877.984375 1775762391.8952
MEM 877.984375 1775762391.9969
MEM 877.984375 1775762392.0988
MEM 877.984375 1775762392.2011
MEM 881.078125 1775762392.3028
MEM 877.984375 1775762392.4046
MEM 877.984375 1775762392.5063
MEM 884.183594 1775762392.6082
MEM 884.238281 1775762392.7101
MEM 882.699219 1775762392.8122
MEM 878.269531 1775762392.9141
MEM 878.300781 1775762393.0157
MEM 885.187500 1775762393.1176
MEM 884.285156 1775762393.2192
MEM 870.953125 1775762393.3210
MEM 873.882812 1775762393.4230
MEM 878.355469 1775762393.5246
MEM 876.406250 1775762393.6263
MEM 874.460938 1775762393.7280
MEM 876.628906 1775762393.8298
MEM 878.820312 1775762393.9316
MEM 879.941406 1775762394.0333
MEM 878.457031 1775762394.1351
MEM 876.621094 1775762394.2369
MEM 876.718750 1775762394.3386
MEM 880.726562 1775762394.4405
MEM 878.734375 1775762394.5423
MEM 877.199219 1775762394.6440
MEM 877.191406 1775762394.7458
MEM 883.183594 1775762394.8479
MEM 883.183594 1775762394.9497
MEM 877.250000 1775762395.0514
MEM 878.925781 1775762395.1533
MEM 881.308594 1775762395.2549
MEM 875.765625 1775762395.3571
MEM 876.464844 1775762395.4591
MEM 873.859375 1775762395.5607
MEM 875.058594 1775762395.6624
MEM 880.722656 1775762395.7654
MEM 878.726562 1775762395.8670
MEM 876.726562 1775762395.9686
MEM 876.726562 1775762396.0702
MEM 880.214844 1775762396.1719
MEM 882.726562 1775762396.2737
MEM 878.726562 1775762396.3755
MEM 876.851562 1775762396.4774
MEM 880.859375 1775762396.5791
MEM 878.867188 1775762396.6821
MEM 878.867188 1775762396.7840
MEM 876.871094 1775762396.8858
MEM 876.871094 1775762396.9875
MEM 876.878906 1775762397.0891
MEM 878.488281 1775762397.1914
MEM 874.269531 1775762397.2933
MEM 875.023438 1775762397.3951
MEM 875.042969 1775762397.4969
MEM 875.007812 1775762397.5986
MEM 875.007812 1775762397.7004
MEM 875.007812 1775762397.8021
MEM 875.007812 1775762397.9040
MEM 875.007812 1775762398.0055
MEM 875.007812 1775762398.1075
MEM 875.007812 1775762398.2093
MEM 875.007812 1775762398.3111
MEM 875.007812 1775762398.4129
MEM 881.097656 1775762398.5148
MEM 882.109375 1775762398.6166
MEM 878.207031 1775762398.7183
MEM 876.218750 1775762398.8201
MEM 877.085938 1775762398.9218
MEM 881.421875 1775762399.0255
MEM 879.085938 1775762399.1271
MEM 877.085938 1775762399.2287
MEM 878.867188 1775762399.3308
MEM 879.347656 1775762399.4334
MEM 879.367188 1775762399.5351
MEM 877.375000 1775762399.6370
MEM 878.250000 1775762399.7387
MEM 885.003906 1775762399.8406
MEM 881.105469 1775762399.9424
MEM 882.593750 1775762400.0441
MEM 878.101562 1775762400.1462
MEM 876.625000 1775762400.2481
MEM 875.656250 1775762400.3498
MEM 877.648438 1775762400.4518
MEM 875.656250 1775762400.5537
MEM 875.656250 1775762400.6556
MEM 880.191406 1775762400.7575
MEM 879.121094 1775762400.8606
